landmark_id,category,location
6793,"http://commons.wikimedia.org/wiki/Category:Anderson_Park,_Redmond,_Washington","Redmond,King County,Washington,United States"
7206,http://commons.wikimedia.org/wiki/Category:Lime_Kiln_Lighthouse,"San Juan County,Washington,Pacific Northwest,Washington,Pacific States Region"
7390,http://commons.wikimedia.org/wiki/Category:Conboy_Lake_National_Wildlife_Refuge,"Washington,Pacific Northwest,Washington,Pacific States Region"
7571,http://commons.wikimedia.org/wiki/Category:Neely_Mansion,"Washington,Pacific Northwest,Washington,Pacific States Region"
7948,http://commons.wikimedia.org/wiki/Category:Lake_Easton_State_Park,"Kittitas County,Washington,Pacific Northwest,Washington,Pacific States Region"
8397,http://commons.wikimedia.org/wiki/Category:Marymoor_Park,"Redmond,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
8549,http://commons.wikimedia.org/wiki/Category:Historic_Flight_Foundation,"Paine Field,Everett,Snohomish County,Washington,Pacific Northwest,Washington,Pacific States Region"
8624,http://commons.wikimedia.org/wiki/Category:Marra_Farm,"South Park,Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
8837,http://commons.wikimedia.org/wiki/Category:Mount_Si,"King County,Washington,Pacific Northwest,Washington,Pacific States Region"
9432,http://commons.wikimedia.org/wiki/Category:Mount_Pilchuck,"Washington,Snohomish County,United States"
9979,http://commons.wikimedia.org/wiki/Category:Franz_Lake_National_Wildlife_Refuge,"Washington,Pacific Northwest,Washington,Pacific States Region"
10549,http://commons.wikimedia.org/wiki/Category:Chihuly_Garden_and_Glass,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
10674,"http://commons.wikimedia.org/wiki/Category:Lotus_(ship,_1909)","Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
10688,http://commons.wikimedia.org/wiki/Category:Abraham_Lincoln_(Pullman_car),"Othello,Adams County,Washington,Pacific Northwest,Washington,Pacific States Region"
11907,http://commons.wikimedia.org/wiki/Category:Oregon_Country,"Washington,Pacific Northwest,Washington,Pacific States Region"
12468,http://commons.wikimedia.org/wiki/Category:Tumwater_Falls,"Tumwater,Thurston County,Washington,Pacific Northwest,Washington,Pacific States Region"
12725,http://commons.wikimedia.org/wiki/Category:Ravenna_Park,"King County,Washington,Pacific Northwest,Washington,Pacific States Region"
13534,http://commons.wikimedia.org/wiki/Category:Martin_Stadium,"Washington State University,Pullman,Whitman County,Washington,Pacific Northwest,Washington,Pacific States Region"
13727,http://commons.wikimedia.org/wiki/Category:Skystone,"Washington,Pacific Northwest,Washington,Pacific States Region"
13777,http://commons.wikimedia.org/wiki/Category:Yashiro_Japanese_Garden,"Washington,Pacific Northwest,Washington,Pacific States Region"
14167,http://commons.wikimedia.org/wiki/Category:Seattle_Children's_Museum,"Washington,Pacific Northwest,Washington,Pacific States Region"
14304,http://commons.wikimedia.org/wiki/Category:Horse_Heaven_Hills,"Washington,Pacific Northwest,Washington,Pacific States Region"
14674,"http://commons.wikimedia.org/wiki/Category:1611_Everett_Avenue,_Everett,_Washington","Everett,Snohomish County,Washington,Pacific Northwest,Washington,Pacific States Region"
14754,http://commons.wikimedia.org/wiki/Category:Snow_Lake_(Mount_Rainier),"Lewis County,Washington,Pacific Northwest,Washington,Pacific States Region"
14898,http://commons.wikimedia.org/wiki/Category:Hood_Canal_Bridge,"Washington,Pacific Northwest,Washington,Pacific States Region"
15001,http://commons.wikimedia.org/wiki/Category:Deception_Pass,"Washington,Pacific Northwest,Washington,Pacific States Region"
15063,http://commons.wikimedia.org/wiki/Category:Sephardic_Bikur_Holim_Congregation,"Washington,Pacific Northwest,Washington,Pacific States Region"
15228,http://commons.wikimedia.org/wiki/Category:Haleets_Rock,"Washington,Pacific Northwest,Washington,Pacific States Region"
15826,http://commons.wikimedia.org/wiki/Category:Lake_Chelan-Sawtooth_Wilderness,"Washington,Pacific Northwest,Washington,Pacific States Region"
16502,"http://commons.wikimedia.org/wiki/Category:Capitol_Theatre_(Yakima,_Washington)","Yakima,Yakima County,Washington,Pacific Northwest,Washington,Pacific States Region"
16516,http://commons.wikimedia.org/wiki/Category:Paccar_Tower,"Washington,Pacific Northwest,Washington,Pacific States Region"
16690,http://commons.wikimedia.org/wiki/Category:Bloedel_Reserve,"Bainbridge Island,Kitsap County,Washington,Pacific Northwest,Washington,Pacific States Region"
16750,http://commons.wikimedia.org/wiki/Category:Cougar_Mountain_Zoo,"Washington,Pacific Northwest,Washington,Pacific States Region"
16975,http://commons.wikimedia.org/wiki/Category:T-Mobile_Park,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
17006,http://commons.wikimedia.org/wiki/Category:Sun_Lakes_%E2%80%94_Dry_Falls_State_Park,"Grant County,Washington,Pacific Northwest,Washington,Pacific States Region"
17236,http://commons.wikimedia.org/wiki/Category:Olallie_Lake,"Skamania County,Washington,Pacific Northwest,Washington,Pacific States Region"
17384,http://commons.wikimedia.org/wiki/Category:Home_of_the_Good_Shepherd,"Wallingford,Washington,Seattle,United States"
17684,http://commons.wikimedia.org/wiki/Category:Langston_Hughes_Performing_Arts_Center,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
17787,http://commons.wikimedia.org/wiki/Category:Thornewood,"Washington,Pacific Northwest,Washington,Pacific States Region"
17800,"http://commons.wikimedia.org/wiki/Category:Campbell_Building,_Kirkland","Washington,Pacific Northwest,Washington,Pacific States Region"
17826,http://commons.wikimedia.org/wiki/Category:Cape_Disappointment_State_Park,"Long Beach Peninsula,Washington,Pacific Northwest,Washington,Pacific States Region"
18350,http://commons.wikimedia.org/wiki/Category:Admiralty_Head_Lighthouse,"Whidbey Island,Puget Sound,Washington,Pacific Northwest,Washington,Pacific States Region"
18979,http://commons.wikimedia.org/wiki/Category:Seattle_Cinerama,"Belltown,Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
19247,http://commons.wikimedia.org/wiki/Category:Seattle_Public_Library_Capitol_Hill_Branch,"Capitol Hill,Seattle,Washington,United States"
19572,http://commons.wikimedia.org/wiki/Category:Patos_Island_(Washington),"San Juan County,Washington,Pacific Northwest,Washington,Pacific States Region"
19855,"http://commons.wikimedia.org/wiki/Category:Pantages_Theater,_Tacoma,_Washington","Tacoma,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region"
19993,http://commons.wikimedia.org/wiki/Category:Puget_Sound,"Washington,Pacific Northwest,Washington,Pacific States Region"
20073,"http://commons.wikimedia.org/wiki/Category:Fire_Station_No._23,_Seattle","Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
20406,http://commons.wikimedia.org/wiki/Category:Historic_Chinatown_Gate_(Seattle),"Chinatown-International District,Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
20467,"http://commons.wikimedia.org/wiki/Category:Adventuress_(ship,_1913)","Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
20553,http://commons.wikimedia.org/wiki/Category:Campbell_House_(Spokane),"Spokane,Spokane County,Washington,Pacific Northwest,Washington,Pacific States Region"
20900,http://commons.wikimedia.org/wiki/Category:Point_Wilson_Lighthouse,"Jefferson County,Washington,Pacific Northwest,Washington,Pacific States Region"
21109,http://commons.wikimedia.org/wiki/Category:Salmon_Bay,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
21278,http://commons.wikimedia.org/wiki/Category:Electron_Hydroelectric_Project,"Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region"
21500,http://commons.wikimedia.org/wiki/Category:Browns_Point_Light,"Tacoma,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region"
21506,http://commons.wikimedia.org/wiki/Category:Glines_Canyon_Dam,"Clallam County,Washington,Pacific Northwest,Washington,Pacific States Region"
21553,http://commons.wikimedia.org/wiki/Category:Pearson_Air_Museum,"Washington,Pacific Northwest,Washington,Pacific States Region"
22123,http://commons.wikimedia.org/wiki/Category:Point_No_Point,"Washington,Pacific Northwest,Washington,Pacific States Region"
22377,"http://commons.wikimedia.org/wiki/Category:Pier_57,_Seattle,_Washington","Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
22627,http://commons.wikimedia.org/wiki/Category:Calhoun_Hotel,"Washington,Pacific Northwest,Washington,Pacific States Region"
23095,http://commons.wikimedia.org/wiki/Category:Seattle_Buddhist_Church,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
23285,http://commons.wikimedia.org/wiki/Category:Goat_Rocks,"Washington,Pacific Northwest,Washington,Pacific States Region"
23486,http://commons.wikimedia.org/wiki/Category:Black_Diamond_Cemetery,"King County,Washington,Pacific Northwest,Washington,Pacific States Region"
23612,http://commons.wikimedia.org/wiki/Category:Umtanum_Ridge,"Washington,Pacific Northwest,Washington,Pacific States Region"
24059,http://commons.wikimedia.org/wiki/Category:Point_Defiance_Zoo_%26_Aquarium,"Washington,Pacific Northwest,Washington,Pacific States Region"
24235,http://commons.wikimedia.org/wiki/Category:Marymere_Falls,"Olympic National Park,Jefferson County,Washington,Pacific Northwest,Washington,Pacific States Region"
24832,http://commons.wikimedia.org/wiki/Category:Egan_House,"St. Mark's Greenbelt,Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
25431,http://commons.wikimedia.org/wiki/Category:House_of_Providence,"Washington,Pacific Northwest,Washington,Pacific States Region"
25748,http://commons.wikimedia.org/wiki/Category:Piper_Orchard,"Washington,Pacific Northwest,Washington,Pacific States Region"
26170,"http://commons.wikimedia.org/wiki/Category:Hyak,_Washington","Kittitas County,Washington,Pacific Northwest,Washington,Pacific States Region"
26407,http://commons.wikimedia.org/wiki/Category:Fort_Steilacoom,"Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region"
26606,http://commons.wikimedia.org/wiki/Category:IndieCade,"Bellevue,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
26712,http://commons.wikimedia.org/wiki/Category:Long_Beach_Peninsula,"Washington,Pacific Northwest,Washington,Pacific States Region"
26787,http://commons.wikimedia.org/wiki/Category:Kopachuck_State_Park,"Gig Harbor,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region"
26916,http://commons.wikimedia.org/wiki/Category:Mountain_Loop_Highway,"Washington,Pacific Northwest,Washington,Pacific States Region"
27306,http://commons.wikimedia.org/wiki/Category:The_Dalles_Bridge,"Oregon,Washington,United States"
27357,http://commons.wikimedia.org/wiki/Category:Hoh_Rain_Forest,"Washington,Pacific Northwest,Washington,Pacific States Region"
27552,http://commons.wikimedia.org/wiki/Category:Heritage_Flight_Museum,"Skagit Regional Airport,Washington,Pacific Northwest,Washington,Pacific States Region"
28120,http://commons.wikimedia.org/wiki/Category:Pike_Place_Market,"Downtown Seattle,Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
28239,http://commons.wikimedia.org/wiki/Category:Jack_Mountain,"Washington,Pacific Northwest,Washington,Pacific States Region"
28418,http://commons.wikimedia.org/wiki/Category:Schafer_State_Park,"Mason County,Washington,Pacific Northwest,Washington,Pacific States Region"
28644,http://commons.wikimedia.org/wiki/Category:Washington_State_History_Museum,"Tacoma,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region"
28795,"http://commons.wikimedia.org/wiki/Category:Strawberry_Island_(Deception_Pass,_Washington)","Island County,Washington,Pacific Northwest,Washington,Pacific States Region"
29030,http://commons.wikimedia.org/wiki/Category:Wanapum_Dam,"Grant County,Washington,Pacific Northwest,Washington,Pacific States Region"
29159,http://commons.wikimedia.org/wiki/Category:William_O._Douglas_Wilderness,"Washington,Pacific Northwest,Washington,Pacific States Region"
29236,http://commons.wikimedia.org/wiki/Category:Palouse_Falls_State_Park,"Washington,Pacific Northwest,Washington,Pacific States Region"
29263,http://commons.wikimedia.org/wiki/Category:Golden_Gardens_Park,"Ballard,Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
29337,"http://commons.wikimedia.org/wiki/Category:Phantom_Lake_(Bellevue,_Washington)","King County,Washington,Pacific Northwest,Washington,Pacific States Region"
29586,http://commons.wikimedia.org/wiki/Category:Big_Four_Ice_Caves,"Washington,Pacific Northwest,Washington,Pacific States Region"
29682,http://commons.wikimedia.org/wiki/Category:Fremont_Bridge_(Seattle),"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
29816,http://commons.wikimedia.org/wiki/Category:Rock_Island_Dam,"Washington,Pacific Northwest,Washington,Pacific States Region"
30239,"http://commons.wikimedia.org/wiki/Category:South_Lake_Union,_Seattle,_Washington","Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
30410,"http://commons.wikimedia.org/wiki/Category:Fremont,_Seattle,_Washington","Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
30575,http://commons.wikimedia.org/wiki/Category:Cascade_Range,"Washington,British Columbia,Oregon,California,United States,Canada"
30688,http://commons.wikimedia.org/wiki/Category:Oscar_Blomeen_House,"Washington,Pacific Northwest,Washington,Pacific States Region"
30972,http://commons.wikimedia.org/wiki/Category:Seattle_Times_Building,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
31590,http://commons.wikimedia.org/wiki/Category:Magnuson_Park,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
31859,http://commons.wikimedia.org/wiki/Category:Bellingham_Bay,"Washington,Whatcom County,United States"
32146,http://commons.wikimedia.org/wiki/Category:Issaquah_Depot,"Issaquah,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
32827,http://commons.wikimedia.org/wiki/Category:Seattle_Central_Library,"Downtown Seattle,Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
33030,http://commons.wikimedia.org/wiki/Category:Artesian_Commons,"Washington,Pacific Northwest,Washington,Pacific States Region"
33147,http://commons.wikimedia.org/wiki/Category:Spokane_Falls,"Washington,Pacific Northwest,Washington,Pacific States Region"
33274,http://commons.wikimedia.org/wiki/Category:Kerry_Park,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
33462,http://commons.wikimedia.org/wiki/Category:Ozette_Lake,"Clallam County,Washington,Pacific Northwest,Washington,Pacific States Region"
33641,http://commons.wikimedia.org/wiki/Category:Eldorado_Glacier,"Washington,Pacific Northwest,Washington,Pacific States Region"
33651,http://commons.wikimedia.org/wiki/Category:San_Juan_Islands,"San Juan County,Washington,Pacific Northwest,Washington,Pacific States Region"
33718,http://commons.wikimedia.org/wiki/Category:Sick's_Stadium,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
34594,http://commons.wikimedia.org/wiki/Category:Woodland_Park_Zoo,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
35394,http://commons.wikimedia.org/wiki/Category:Washington_Athletic_Club,"Washington,Pacific Northwest,Washington,Pacific States Region"
35597,http://commons.wikimedia.org/wiki/Category:Millersylvania_State_Park,"Thurston County,Washington,Pacific Northwest,Washington,Pacific States Region"
35704,http://commons.wikimedia.org/wiki/Category:Maryhill_State_Park,"Klickitat County,Washington,Pacific Northwest,Washington,Pacific States Region"
35730,http://commons.wikimedia.org/wiki/Category:Cascadia_Subduction_Zone,"Oregon,British Columbia,California,Washington,United States,Canada"
36068,http://commons.wikimedia.org/wiki/Category:Blanca_Lake,"Snohomish County,Washington,Pacific Northwest,Washington,Pacific States Region"
36124,http://commons.wikimedia.org/wiki/Category:Bellevue_Downtown_Park,"Bellevue,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
36412,http://commons.wikimedia.org/wiki/Category:Stonerose_Interpretive_Center,"Republic,Ferry County,Washington,Pacific Northwest,Washington,Pacific States Region"
36641,"http://commons.wikimedia.org/wiki/Category:Covington_House_(Vancouver,_Washington)","Washington,Pacific Northwest,Washington,Pacific States Region"
36713,http://commons.wikimedia.org/wiki/Category:Fields_Spring_State_Park,"Washington,Asotin County,United States"
36864,http://commons.wikimedia.org/wiki/Category:Mukai_Cold_Process_Fruit_Barrelling_Plant,"Vashon,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
36911,http://commons.wikimedia.org/wiki/Category:Doubtful_Lake,"Chelan County,Washington,United States"
37122,"http://commons.wikimedia.org/wiki/Category:National_Building,_Seattle","Washington,Pacific Northwest,Washington,Pacific States Region"
37840,http://commons.wikimedia.org/wiki/Category:Museum_of_Glass,"Tacoma,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region"
37902,http://commons.wikimedia.org/wiki/Category:Daybreak_Star_Cultural_Center,"Washington,Pacific Northwest,Washington,Pacific States Region"
38187,http://commons.wikimedia.org/wiki/Category:Thornton_Creek,"Washington,Pacific Northwest,Washington,Pacific States Region"
38209,http://commons.wikimedia.org/wiki/Category:Cable_Bridge,"Tri-Cities,Franklin County,Washington,Pacific Northwest,Washington,Pacific States Region"
38427,http://commons.wikimedia.org/wiki/Category:Quillayute_Needles_National_Wildlife_Refuge,"Los Frayles,Clallam County,Washington,Pacific Northwest,Washington,Pacific States Region"
38645,"http://commons.wikimedia.org/wiki/Category:Wells_Fargo_Center_(Seattle,_Washington)","Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
38777,http://commons.wikimedia.org/wiki/Category:Seaquest_State_Park,"Cowlitz County,Washington,Pacific Northwest,Washington,Pacific States Region"
39030,http://commons.wikimedia.org/wiki/Category:Cape_Alava,"Clallam County,Washington,Pacific Northwest,Washington,Pacific States Region"
39407,http://commons.wikimedia.org/wiki/Category:Angle_Lake,"Washington,Pacific Northwest,Washington,Pacific States Region"
39592,"http://commons.wikimedia.org/wiki/Category:Central_Waterfront,_Seattle,_Washington","Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
39681,http://commons.wikimedia.org/wiki/Category:Fort_Lewis_Military_Museum,"Joint Base Lewis-McChord,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region"
39935,http://commons.wikimedia.org/wiki/Category:Norse_Peak_Wilderness,"Washington,Pacific Northwest,Washington,Pacific States Region"
39961,http://commons.wikimedia.org/wiki/Category:Seattle_Municipal_Tower,"Washington,Pacific Northwest,Washington,Pacific States Region"
40049,http://commons.wikimedia.org/wiki/Category:Esther_Short_Park,"Clark County,Washington,Pacific Northwest,Washington,Pacific States Region"
40163,http://commons.wikimedia.org/wiki/Category:Anthony_Lakes_ski_resort,"Blue Mountains,Washington,Pacific States Region"
40418,http://commons.wikimedia.org/wiki/Category:East_Kong_Yick_Building,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
40693,http://commons.wikimedia.org/wiki/Category:Vancouver_Barracks,"Vancouver,Clark County,Washington,Pacific Northwest,Washington,Pacific States Region"
41216,"http://commons.wikimedia.org/wiki/Category:Craft_Island,_Washington","Skagit County,Washington,Pacific Northwest,Washington,Pacific States Region"
41262,http://commons.wikimedia.org/wiki/Category:Naval_Undersea_Museum,"Keyport,Kitsap County,Washington,Pacific Northwest,Washington,Pacific States Region"
41495,http://commons.wikimedia.org/wiki/Category:USS_Abraham_Lincoln_(CVN-72),"Washington,Pacific Northwest,Washington,Pacific States Region"
41542,http://commons.wikimedia.org/wiki/Category:Roman_Catholic_Diocese_of_Spokane,"Washington,Pacific Northwest,Washington,Pacific States Region"
41866,http://commons.wikimedia.org/wiki/Category:Tacoma_Dome,"Tacoma,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region"
42204,http://commons.wikimedia.org/wiki/Category:First_Methodist_Protestant_Church_of_Seattle,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
42444,http://commons.wikimedia.org/wiki/Category:Panama_Hotel_(Seattle),"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
42560,http://commons.wikimedia.org/wiki/Category:Chihuly_Bridge_of_Glass,"Tacoma,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region"
42681,http://commons.wikimedia.org/wiki/Category:Columbia_National_Wildlife_Refuge,"Washington,Pacific Northwest,Washington,Pacific States Region"
42876,http://commons.wikimedia.org/wiki/Category:Glacier_Peak,"Washington,Pacific Northwest,Washington,Pacific States Region"
43012,http://commons.wikimedia.org/wiki/Category:Fort_Lawton,"Washington,Pacific Northwest,Washington,Pacific States Region"
43065,http://commons.wikimedia.org/wiki/Category:Daroga_State_Park,"Chelan County,Washington,Pacific Northwest,Washington,Pacific States Region"
43445,"http://commons.wikimedia.org/wiki/Category:Colman_Building,_Seattle","Washington,Pacific Northwest,Washington,Pacific States Region"
43577,http://commons.wikimedia.org/wiki/Category:Snowking_Mountain,"Skagit County,Washington,Pacific Northwest,Washington,Pacific States Region"
43701,"http://commons.wikimedia.org/wiki/Category:Clear_Lake,_Washington","Skagit County,Washington,Pacific Northwest,Washington,Pacific States Region"
43962,http://commons.wikimedia.org/wiki/Category:Kettle_Falls,"Stevens County,Washington,Pacific Northwest,Washington,Pacific States Region"
43981,"http://commons.wikimedia.org/wiki/Category:Redondo_Beach,_Des_Moines,_Washington","Des Moines,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
44803,http://commons.wikimedia.org/wiki/Category:7th_Church_of_Christ_Scientist_(Seattle),"Washington,Pacific Northwest,Washington,Pacific States Region"
44849,http://commons.wikimedia.org/wiki/Category:Lake_Sammamish,"Washington,King County,United States"
44897,http://commons.wikimedia.org/wiki/Category:Okanogan_National_Forest,"Washington,Pacific Northwest,Washington,Pacific States Region"
45027,"http://commons.wikimedia.org/wiki/Category:Emmanuel_Episcopal_Church,_Eastsound","Eastsound,Orcas Island,San Juan County,Washington,Pacific Northwest,Washington,Pacific States Region"
45396,http://commons.wikimedia.org/wiki/Category:Bridle_Trails_State_Park,"Washington,Pacific Northwest,Washington,Pacific States Region"
45478,http://commons.wikimedia.org/wiki/Category:Fourth_and_Madison_Building,"Washington,Pacific Northwest,Washington,Pacific States Region"
45569,"http://commons.wikimedia.org/wiki/Category:Sand_Point,_Seattle,_Washington","Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
45647,http://commons.wikimedia.org/wiki/Category:Jarrell_Cove_State_Park,"Mason County,Washington,Pacific Northwest,Washington,Pacific States Region"
45780,http://commons.wikimedia.org/wiki/Category:Vancouver_Lake,"Clark County,Washington,Pacific Northwest,Washington,Pacific States Region"
45889,http://commons.wikimedia.org/wiki/Category:Mud_Mountain_Dam,"King County,Washington,Pacific Northwest,Washington,Pacific States Region"
46014,http://commons.wikimedia.org/wiki/Category:Seattle_Asian_Art_Museum,"Volunteer Park,Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
46235,http://commons.wikimedia.org/wiki/Category:Russell_Investments_Center,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
46501,"http://commons.wikimedia.org/wiki/Category:Safeco_Plaza_(Seattle,_Washington)","Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
46589,http://commons.wikimedia.org/wiki/Category:Montlake_Playfield,"Washington,Pacific Northwest,Washington,Pacific States Region"
46959,http://commons.wikimedia.org/wiki/Category:Majestic_Bay,"Ballard,Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
47146,"http://commons.wikimedia.org/wiki/Category:Eastlake,_Seattle,_Washington","Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
47361,http://commons.wikimedia.org/wiki/Category:Roanoke_Park_Historic_District,"Washington,Pacific Northwest,Washington,Pacific States Region"
47566,http://commons.wikimedia.org/wiki/Category:Episcopal_Diocese_of_Olympia,"Washington,Pacific Northwest,Washington,Pacific States Region"
